iter	Passed	Remaining
0	211	211091
1	364	182005
2	503	167246
3	646	160998
4	789	157191
5	958	158763
6	1088	154404
7	1226	152071
8	1365	150302
9	1507	149196
10	1649	148313
11	1783	146843
12	1920	145804
13	2036	143424
14	2161	141963
15	2291	140903
16	2417	139801
17	2542	138726
18	2663	137515
19	2782	136338
20	2918	136074
21	3045	135388
22	3182	135179
23	3295	134003
24	3421	133442
25	3541	132681
26	3652	131641
27	3773	130995
28	3908	130854
29	4038	130577
30	4176	130549
31	4297	129996
32	4411	129261
33	4519	128394
34	4631	127690
35	4751	127232
36	4866	126667
37	4982	126123
38	5099	125652
39	5213	125129
40	5316	124355
41	5439	124063
42	5566	123888
43	5677	123366
44	5787	122820
45	5904	122458
46	6020	122077
47	6134	121661
48	6238	121074
49	6340	120463
50	6449	120013
51	6547	119359
52	6661	119020
53	6777	118728
54	6897	118510
55	7018	118312
56	7117	117754
57	7222	117300
58	7334	116977
59	7451	116738
60	7576	116629
61	7722	116836
62	7842	116638
63	7974	116622
64	8097	116472
65	8219	116318
66	8339	116134
67	8457	115915
68	8586	115859
69	8697	115548
70	8808	115255
71	8953	115394
72	9072	115211
73	9193	115044
74	9329	115069
75	9445	114835
76	9564	114648
77	9726	114978
78	9844	114773
79	9947	114397
80	10059	114132
81	10176	113924
82	10305	113860
83	10432	113759
84	10566	113739
85	10676	113471
86	10792	113259
87	10927	113244
88	11055	113164
89	11174	112985
90	11306	112936
91	11421	112729
92	11533	112481
93	11648	112271
94	11779	112216
95	11906	112122
96	12030	111992
97	12153	111859
98	12272	111695
99	12409	111685
100	12528	111516
101	12646	111335
102	12774	111247
103	12883	110995
104	13009	110889
105	13128	110728
106	13256	110632
107	13397	110655
108	13533	110629
109	13686	110734
110	13814	110642
111	13931	110459
112	14062	110388
113	14191	110294
114	14306	110100
115	14436	110018
116	14550	109809
117	14656	109550
118	14779	109415
119	14911	109353
120	15030	109189
121	15147	109010
122	15264	108834
123	15387	108707
124	15503	108522
125	15616	108322
126	15724	108090
127	15887	108236
128	16005	108070
129	16105	107784
130	16227	107643
131	16345	107481
132	16458	107289
133	16588	107203
134	16710	107071
135	16846	107022
136	16951	106783
137	17080	106692
138	17202	106554
139	17325	106426
140	17438	106237
141	17550	106046
142	17652	105792
143	17764	105599
144	17873	105392
145	17995	105259
146	18139	105258
147	18297	105333
148	18448	105367
149	18561	105179
150	18665	104948
151	18766	104696
152	18876	104500
153	19011	104441
154	19139	104339
155	19269	104255
156	19385	104091
157	19511	103980
158	19622	103788
159	19723	103546
160	19844	103415
161	19985	103381
162	20132	103378
163	20307	103517
164	20481	103649
165	20634	103667
166	20774	103624
167	20917	103590
168	21055	103531
169	21184	103432
170	21321	103365
171	21464	103328
172	21578	103152
173	21721	103113
174	21866	103085
175	21999	102997
176	22125	102875
177	22235	102685
178	22359	102555
179	22476	102391
180	22596	102246
181	22725	102140
182	22852	102023
183	23007	102032
184	23139	101937
185	23273	101854
186	23408	101770
187	23539	101670
188	23682	101622
189	23811	101514
190	23952	101453
191	24071	101302
192	24211	101238
193	24340	101126
194	24482	101066
195	24607	100942
196	24721	100770
197	24841	100622
198	24968	100500
199	25111	100447
200	25258	100404
201	25434	100477
202	25567	100382
203	25712	100327
204	25840	100212
205	25987	100164
206	26112	100036
207	26242	99923
208	26412	99963
209	26543	99854
210	26683	99779
211	26826	99711
212	26981	99692
213	27124	99623
214	27272	99576
215	27408	99484
216	27528	99331
217	27646	99170
218	27777	99059
219	27895	98901
220	28017	98760
221	28149	98650
222	28270	98503
223	28391	98357
224	28523	98249
225	28644	98099
226	28759	97933
227	28879	97783
228	28989	97602
229	29113	97465
230	29239	97337
231	29353	97171
232	29475	97028
233	29600	96898
234	29723	96758
235	29835	96586
236	29934	96371
237	30066	96264
238	30212	96198
239	30334	96060
240	30457	95922
241	30595	95831
242	30709	95668
243	30819	95490
244	30954	95389
245	31100	95322
246	31212	95154
247	31339	95028
248	31477	94939
249	31596	94788
250	31724	94669
251	31844	94521
252	31957	94355
253	32071	94195
254	32180	94018
255	32291	93846
256	32403	93681
257	32567	93664
258	32670	93470
259	32778	93291
260	32900	93154
261	33013	92992
262	33144	92880
263	33265	92740
264	33374	92567
265	33486	92401
266	33626	92315
267	33742	92161
268	33868	92036
269	33994	91910
270	34108	91754
271	34243	91650
272	34368	91524
273	34482	91366
274	34597	91210
275	34750	91156
276	34870	91016
277	34984	90858
278	35097	90700
279	35229	90589
280	35347	90443
281	35477	90328
282	35596	90186
283	35727	90072
284	35843	89922
285	35959	89772
286	36073	89616
287	36208	89514
288	36337	89399
289	36467	89282
290	36570	89100
291	36708	89005
292	36874	88977
293	36990	88828
294	37130	88735
295	37239	88569
296	37358	88427
297	37484	88303
298	37608	88172
299	37728	88032
300	37870	87946
301	38000	87829
302	38120	87690
303	38237	87543
304	38354	87396
305	38474	87258
306	38601	87135
307	38750	87063
308	38876	86936
309	39009	86827
310	39124	86676
311	39242	86535
312	39369	86410
313	39490	86275
314	39614	86146
315	39715	85966
316	39839	85836
317	39951	85682
318	40093	85590
319	40208	85443
320	40310	85267
321	40427	85124
322	40535	84961
323	40645	84804
324	40766	84669
325	40907	84575
326	41033	84451
327	41152	84311
328	41285	84201
329	41399	84054
330	41541	83962
331	41680	83864
332	41797	83720
333	41904	83558
334	42023	83419
335	42148	83293
336	42269	83159
337	42379	83003
338	42493	82856
339	42605	82704
340	42730	82579
341	42841	82426
342	42977	82321
343	43071	82135
344	43221	82057
345	43388	82012
346	43506	81873
347	43621	81727
348	43744	81598
349	43876	81484
350	44018	81389
351	44147	81270
352	44260	81123
353	44396	81016
354	44513	80877
355	44625	80726
356	44768	80632
357	44908	80534
358	45018	80381
359	45141	80252
360	45278	80147
361	45397	80009
362	45554	79939
363	45704	79857
364	45869	79800
365	46013	79706
366	46157	79612
367	46307	79528
368	46440	79414
369	46592	79332
370	46736	79237
371	46888	79156
372	47018	79037
373	47167	78948
374	47297	78829
375	47471	78782
376	47586	78637
377	47725	78532
378	47852	78407
379	47976	78277
380	48143	78218
381	48293	78129
382	48443	78040
383	48577	77925
384	48739	77855
385	48904	77791
386	49046	77688
387	49209	77618
388	49351	77515
389	49476	77387
390	49618	77282
391	49757	77175
392	49903	77076
393	50057	76991
394	50203	76893
395	50355	76804
396	50495	76696
397	50631	76582
398	50766	76468
399	50882	76324
400	51060	76272
401	51201	76165
402	51358	76082
403	51531	76021
404	51710	75969
405	51848	75856
406	52005	75772
407	52137	75650
408	52281	75546
409	52413	75423
410	52523	75271
411	52658	75153
412	52821	75075
413	52976	74985
414	53140	74909
415	53276	74792
416	53406	74665
417	53558	74571
418	53704	74468
419	53833	74341
420	53966	74219
421	54098	74096
422	54228	73971
423	54368	73859
424	54508	73746
425	54640	73623
426	54766	73492
427	54895	73365
428	55033	73249
429	55190	73159
430	55335	73052
431	55470	72932
432	55604	72812
433	55721	72668
434	55847	72538
435	55977	72411
436	56108	72286
437	56232	72152
438	56361	72024
439	56486	71892
440	56609	71756
441	56726	71614
442	56859	71491
443	56982	71356
444	57094	71208
445	57227	71085
446	57363	70966
447	57491	70837
448	57621	70711
449	57754	70589
450	57905	70487
451	58058	70389
452	58196	70272
453	58323	70141
454	58463	70027
455	58608	69918
456	58733	69786
457	58859	69655
458	58999	69539
459	59143	69429
460	59290	69321
461	59418	69193
462	59552	69070
463	59699	68962
464	59824	68829
465	59958	68707
466	60113	68608
467	60443	68708
468	60571	68579
469	60715	68466
470	60859	68354
471	61011	68249
472	61146	68127
473	61283	68007
474	61417	67882
475	61555	67762
476	61689	67638
477	61818	67508
478	61941	67372
479	62091	67265
480	62230	67146
481	62374	67032
482	62557	66961
483	62720	66867
484	62927	66819
485	63084	66718
486	63235	66611
487	63349	66465
488	63499	66356
489	63635	66232
490	63783	66121
491	63932	66011
492	64082	65902
493	64219	65779
494	64348	65648
495	64493	65533
496	64720	65501
497	64867	65388
498	64992	65252
499	65127	65127
500	65234	64974
501	65373	64852
502	65480	64699
503	65600	64559
504	65772	64469
505	65960	64396
506	66100	64274
507	66223	64137
508	66350	64004
509	66469	63863
510	66579	63713
511	66723	63595
512	66864	63475
513	66990	63341
514	67130	63219
515	67283	63110
516	67442	63006
517	67605	62906
518	67732	62773
519	67887	62665
520	68026	62542
521	68159	62414
522	68296	62289
523	68431	62163
524	68583	62051
525	68726	61932
526	68876	61818
527	69016	61696
528	69135	61555
529	69277	61434
530	69402	61299
531	69535	61170
532	69652	61027
533	69761	60878
534	69872	60730
535	69991	60589
536	70109	60447
537	70246	60322
538	70384	60198
539	70516	60069
540	70650	59941
541	70769	59801
542	70894	59665
543	71011	59524
544	71134	59387
545	71285	59274
546	71526	59234
547	71725	59160
548	71883	59051
549	72031	58934
550	72149	58793
551	72289	58669
552	72430	58546
553	72573	58425
554	72723	58309
555	72878	58198
556	73028	58082
557	73162	57953
558	73301	57828
559	73446	57707
560	73568	57570
561	73687	57428
562	73832	57308
563	74015	57217
564	74192	57121
565	74322	56989
566	74476	56874
567	74612	56747
568	74740	56613
569	74874	56484
570	75028	56370
571	75167	56244
572	75299	56112
573	75441	55989
574	75571	55856
575	75712	55733
576	75829	55590
577	75992	55482
578	76114	55343
579	76222	55195
580	76325	55043
581	76444	54903
582	76566	54765
583	76692	54630
584	76822	54498
585	76964	54374
586	77119	54259
587	77271	54142
588	77414	54019
589	77548	53889
590	77696	53769
591	77846	53651
592	78016	53546
593	78185	53440
594	78346	53328
595	78503	53213
596	78644	53088
597	78807	52977
598	78978	52871
599	79163	52775
600	79332	52668
601	79506	52564
602	79679	52458
603	79803	52321
604	79953	52200
605	80123	52093
606	80279	51976
607	80523	51916
608	80699	51812
609	80813	51667
610	80967	51548
611	81089	51409
612	81243	51290
613	81376	51158
614	81509	51026
615	81631	50887
616	81767	50756
617	81887	50616
618	82023	50485
619	82145	50347
620	82273	50211
621	82395	50073
622	82540	49948
623	82674	49816
624	82782	49669
625	82914	49536
626	83058	49411
627	83173	49268
628	83313	49140
629	83441	49005
630	83564	48867
631	83722	48749
632	83857	48618
633	83993	48488
634	84142	48365
635	84345	48273
636	84479	48141
637	84611	48008
638	84766	47888
639	84905	47759
640	85038	47627
641	85173	47495
642	85294	47356
643	85420	47220
644	85550	47086
645	85660	46940
646	85770	46795
647	85887	46654
648	86013	46518
649	86141	46383
650	86269	46248
651	86413	46122
652	86556	45995
653	86687	45862
654	86806	45722
655	86925	45583
656	87050	45446
657	87167	45305
658	87283	45164
659	87398	45023
660	87520	44885
661	87646	44750
662	87782	44619
663	87921	44490
664	88044	44353
665	88159	44212
666	88291	44079
667	88411	43940
668	88546	43810
669	88655	43666
670	88795	43537
671	88923	43402
672	89067	43276
673	89199	43143
674	89326	43009
675	89461	42877
676	89573	42736
677	89697	42599
678	89813	42459
679	89907	42309
680	90026	42170
681	90137	42028
682	90250	41887
683	90364	41747
684	90488	41611
685	90597	41468
686	90701	41323
687	90829	41190
688	90951	41053
689	91077	40918
690	91200	40782
691	91321	40645
692	91452	40513
693	91563	40372
694	91703	40243
695	91839	40113
696	91951	39973
697	92090	39844
698	92197	39701
699	92316	39564
700	92447	39431
701	92573	39297
702	92697	39162
703	92827	39029
704	92939	38889
705	93074	38758
706	93204	38626
707	93331	38492
708	93450	38355
709	93557	38213
710	93661	38070
711	93780	37933
712	93886	37791
713	94000	37652
714	94113	37513
715	94253	37385
716	94395	37257
717	94517	37122
718	94653	36992
719	94792	36863
720	94907	36725
721	95014	36584
722	95129	36446
723	95250	36310
724	95391	36182
725	95522	36051
726	95624	35908
727	95752	35775
728	95863	35636
729	95967	35494
730	96081	35356
731	96209	35224
732	96316	35084
733	96434	34947
734	96568	34817
735	96695	34684
736	96837	34556
737	96970	34425
738	97093	34291
739	97225	34160
740	97357	34029
741	97482	33895
742	97609	33762
743	97739	33630
744	97846	33491
745	97957	33352
746	98075	33217
747	98206	33085
748	98325	32950
749	98455	32818
750	98561	32678
751	98683	32544
752	98806	32410
753	98934	32278
754	99070	32148
755	99189	32013
756	99318	31881
757	99450	31750
758	99586	31621
759	99701	31484
760	99833	31353
761	99960	31221
762	100094	31090
763	100215	30956
764	100351	30826
765	100479	30694
766	100615	30565
767	100764	30439
768	100896	30308
769	101021	30175
770	101149	30043
771	101286	29913
772	101422	29783
773	101563	29655
774	101662	29514
775	101779	29379
776	101914	29249
777	102035	29115
778	102159	28982
779	102297	28853
780	102429	28722
781	102544	28586
782	102658	28450
783	102781	28317
784	102908	28185
785	103037	28053
786	103179	27925
787	103318	27796
788	103453	27666
789	103575	27532
790	103718	27404
791	103865	27277
792	104004	27148
793	104130	27016
794	104245	26880
795	104352	26743
796	104468	26608
797	104608	26479
798	104747	26350
799	104880	26220
800	105018	26090
801	105143	25958
802	105269	25825
